iter	Passed	Remaining
0	0	80
1	1	82
2	2	77
3	3	74
4	4	76
5	4	74
6	5	74
7	6	73
8	7	73
9	8	73
10	8	71
11	9	71
12	10	69
13	11	68
14	11	67
15	12	66
16	13	65
17	14	65
18	15	64
19	15	63
20	16	62
21	17	62
22	18	61
23	19	60
24	19	59
25	20	59
26	21	58
27	22	57
28	23	56
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	28	52
35	29	51
36	29	50
37	30	49
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	45
44	36	44
45	37	43
46	38	42
47	38	41
48	39	41
49	40	40
50	40	39
51	41	38
52	42	37
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	49	30
62	50	29
63	51	29
64	52	28
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
